image_path,label,label_id,position_id,square,theme,square_color,background_varied,split
squares/black_rook/pos_00000_chessnut_classic_a8.png,black_rook,10,pos_00000,a8,chessnut_classic,light,False,val
squares/black_knight/pos_00000_chessnut_classic_b8.png,black_knight,8,pos_00000,b8,chessnut_classic,dark,False,val
squares/black_bishop/pos_00000_chessnut_classic_c8.png,black_bishop,9,pos_00000,c8,chessnut_classic,light,False,val
squares/black_queen/pos_00000_chessnut_classic_d8.png,black_queen,11,pos_00000,d8,chessnut_classic,dark,False,val
squares/black_king/pos_00000_chessnut_classic_e8.png,black_king,12,pos_00000,e8,chessnut_classic,light,False,val
squares/black_bishop/pos_00000_chessnut_classic_f8.png,black_bishop,9,pos_00000,f8,chessnut_classic,dark,False,val
squares/black_knight/pos_00000_chessnut_classic_g8.png,black_knight,8,pos_00000,g8,chessnut_classic,light,False,val
squares/black_rook/pos_00000_chessnut_classic_h8.png,black_rook,10,pos_00000,h8,chessnut_classic,dark,False,val
squares/black_pawn/pos_00000_chessnut_classic_a7.png,black_pawn,7,pos_00000,a7,chessnut_classic,dark,False,val
squares/black_pawn/pos_00000_chessnut_classic_b7.png,black_pawn,7,pos_00000,b7,chessnut_classic,light,False,val
squares/black_pawn/pos_00000_chessnut_classic_c7.png,black_pawn,7,pos_00000,c7,chessnut_classic,dark,False,val
squares/black_pawn/pos_00000_chessnut_classic_d7.png,black_pawn,7,pos_00000,d7,chessnut_classic,light,False,val
squares/black_pawn/pos_00000_chessnut_classic_e7.png,black_pawn,7,pos_00000,e7,chessnut_classic,dark,False,val
squares/black_pawn/pos_00000_chessnut_classic_f7.png,black_pawn,7,pos_00000,f7,chessnut_classic,light,False,val
squares/black_pawn/pos_00000_chessnut_classic_g7.png,black_pawn,7,pos_00000,g7,chessnut_classic,dark,False,val
squares/black_pawn/pos_00000_chessnut_classic_h7.png,black_pawn,7,pos_00000,h7,chessnut_classic,light,False,val
squares/empty/pos_00000_chessnut_classic_a6.png,empty,0,pos_00000,a6,chessnut_classic,light,False,val
squares/empty/pos_00000_chessnut_classic_b6.png,empty,0,pos_00000,b6,chessnut_classic,dark,False,val
squares/empty/pos_00000_chessnut_classic_c6.png,empty,0,pos_00000,c6,chessnut_classic,light,False,val
squares/empty/pos_00000_chessnut_classic_d6.png,empty,0,pos_00000,d6,chessnut_classic,dark,False,val
squares/empty/pos_00000_chessnut_classic_e6.png,empty,0,pos_00000,e6,chessnut_classic,light,False,val
squares/empty/pos_00000_chessnut_classic_f6.png,empty,0,pos_00000,f6,chessnut_classic,dark,False,val
squares/empty/pos_00000_chessnut_classic_g6.png,empty,0,pos_00000,g6,chessnut_classic,light,False,val
squares/empty/pos_00000_chessnut_classic_h6.png,empty,0,pos_00000,h6,chessnut_classic,dark,False,val
squares/empty/pos_00000_chessnut_classic_a5.png,empty,0,pos_00000,a5,chessnut_classic,dark,False,val
squares/empty/pos_00000_chessnut_classic_b5.png,empty,0,pos_00000,b5,chessnut_classic,light,False,val
squares/empty/pos_00000_chessnut_classic_c5.png,empty,0,pos_00000,c5,chessnut_classic,dark,False,val
squares/empty/pos_00000_chessnut_classic_d5.png,empty,0,pos_00000,d5,chessnut_classic,light,False,val
squares/empty/pos_00000_chessnut_classic_e5.png,empty,0,pos_00000,e5,chessnut_classic,dark,False,val
squares/empty/pos_00000_chessnut_classic_f5.png,empty,0,pos_00000,f5,chessnut_classic,light,False,val
squares/empty/pos_00000_chessnut_classic_g5.png,empty,0,pos_00000,g5,chessnut_classic,dark,False,val
squares/empty/pos_00000_chessnut_classic_h5.png,empty,0,pos_00000,h5,chessnut_classic,light,False,val
squares/empty/pos_00000_chessnut_classic_a4.png,empty,0,pos_00000,a4,chessnut_classic,light,False,val
squares/empty/pos_00000_chessnut_classic_b4.png,empty,0,pos_00000,b4,chessnut_classic,dark,False,val
