board_path,board_offset,first_square,first_label,second_square,second_label,cosine_similarity,group_id,cluster_members,cluster_labels
data/raw/kaggle_chess_positions/test/1BRN1N2-2r5-2P5-4nP2-3pR2N-8-5r2-2KB1k2.jpeg,14,c8,white_rook,c6,white_pawn,0.9951592087745667,2,c8 c6 f5 e4,white_rook white_pawn white_pawn white_rook
data/raw/kaggle_chess_positions/test/1BRN1N2-2r5-2P5-4nP2-3pR2N-8-5r2-2KB1k2.jpeg,14,c8,white_rook,f5,white_pawn,0.9946850538253784,2,c8 c6 f5 e4,white_rook white_pawn white_pawn white_rook
data/raw/kaggle_chess_positions/test/1BRN1N2-2r5-2P5-4nP2-3pR2N-8-5r2-2KB1k2.jpeg,14,c6,white_pawn,e4,white_rook,0.9944199919700623,2,c8 c6 f5 e4,white_rook white_pawn white_pawn white_rook
data/raw/kaggle_chess_positions/test/1BRN1N2-2r5-2P5-4nP2-3pR2N-8-5r2-2KB1k2.jpeg,14,f5,white_pawn,e4,white_rook,0.9945179224014282,2,c8 c6 f5 e4,white_rook white_pawn white_pawn white_rook
data/raw/kaggle_chess_positions/test/1Bq5-3B4-2K1r3-1BR4p-3b2k1-b7-8-R1B5.jpeg,26,d7,white_bishop,c6,white_king,0.9814279079437256,4,d7 c6 b5,white_bishop white_king white_bishop
data/raw/kaggle_chess_positions/test/1Bq5-3B4-2K1r3-1BR4p-3b2k1-b7-8-R1B5.jpeg,26,c6,white_king,b5,white_bishop,0.9809362888336182,4,d7 c6 b5,white_bishop white_king white_bishop
data/raw/kaggle_chess_positions/test/1Br5-5k2-6P1-1R5p-8-8-1bK5-n7.jpeg,31,b2,black_bishop,a1,black_knight,0.9866696000099182,12,b2 a1,black_bishop black_knight
data/raw/kaggle_chess_positions/test/1K1B1r2-8-1P6-6P1-1r4P1-2nr4-1k6-7b.jpeg,32,c3,black_knight,b2,black_king,0.980600118637085,10,c3 b2,black_knight black_king
data/raw/kaggle_chess_positions/test/1K1B2B1-2N5-5R2-8-5k2-8-8-8.jpeg,33,b8,white_king,c7,white_knight,0.9922212362289429,1,b8 c7 f6,white_king white_knight white_rook
data/raw/kaggle_chess_positions/test/1K1B2B1-2N5-5R2-8-5k2-8-8-8.jpeg,33,b8,white_king,f6,white_rook,0.9902356266975403,1,b8 c7 f6,white_king white_knight white_rook
data/raw/kaggle_chess_positions/test/1K1B2B1-2N5-5R2-8-5k2-8-8-8.jpeg,33,c7,white_knight,f6,white_rook,0.9919863343238831,1,b8 c7 f6,white_king white_knight white_rook
data/raw/kaggle_chess_positions/test/1K1R4-8-1k6-8-2PQ4-8-8-2B5.jpeg,45,b8,white_king,d8,white_rook,0.9869231581687927,1,b8 d8,white_king white_rook
data/raw/kaggle_chess_positions/test/1K1b2k1-8-5p2-q7-5Nn1-2p5-8-8.jpeg,49,b8,white_king,f4,white_knight,0.9953213930130005,1,b8 f4,white_king white_knight
data/raw/kaggle_chess_positions/test/1K2k3-r7-8-8-2R2r2-8-5p2-8.jpeg,126,a7,black_rook,f2,black_pawn,0.9900567531585693,4,a7 f4 f2,black_rook black_rook black_pawn
data/raw/kaggle_chess_positions/test/1K2k3-r7-8-8-2R2r2-8-5p2-8.jpeg,126,f4,black_rook,f2,black_pawn,0.9885275959968567,4,a7 f4 f2,black_rook black_rook black_pawn
data/raw/kaggle_chess_positions/test/1K2q3-b1b5-3NN3-3P4-3p4-8-5Q2-5Qk1.jpeg,132,d4,black_pawn,a1,empty,0.9835488200187683,8,d4 a1 c1 e1,black_pawn empty empty empty
data/raw/kaggle_chess_positions/test/1K2q3-b1b5-3NN3-3P4-3p4-8-5Q2-5Qk1.jpeg,132,d4,black_pawn,c1,empty,0.982923150062561,8,d4 a1 c1 e1,black_pawn empty empty empty
data/raw/kaggle_chess_positions/test/1K2q3-b1b5-3NN3-3P4-3p4-8-5Q2-5Qk1.jpeg,132,d4,black_pawn,e1,empty,0.9849866628646851,8,d4 a1 c1 e1,black_pawn empty empty empty
data/raw/kaggle_chess_positions/test/1K3k2-5p2-8-2R5-3b2R1-1Q3b2-8-8.jpeg,165,b8,white_king,c5,white_rook,0.9816651344299316,1,b8 c5,white_king white_rook
data/raw/kaggle_chess_positions/test/1K4r1-5N2-7b-4q2k-8-8-B7-5n1b.jpeg,218,h5,black_king,h1,black_bishop,0.9900957345962524,8,h5 h1,black_king black_bishop
data/raw/kaggle_chess_positions/test/1K5N-Pr1b4-4r3-8-2N5-1Q1k4-8-R7.jpeg,225,h8,white_knight,a7,white_pawn,0.9804100394248962,3,h8 a7 a1,white_knight white_pawn white_rook
data/raw/kaggle_chess_positions/test/1K5N-Pr1b4-4r3-8-2N5-1Q1k4-8-R7.jpeg,225,h8,white_knight,a1,white_rook,0.9871879816055298,3,h8 a7 a1,white_knight white_pawn white_rook
data/raw/kaggle_chess_positions/test/1K5N-Pr1b4-4r3-8-2N5-1Q1k4-8-R7.jpeg,225,a7,white_pawn,a1,white_rook,0.9936781525611877,3,h8 a7 a1,white_knight white_pawn white_rook
data/raw/kaggle_chess_positions/test/1K5k-6R1-2p4n-8-4R3-1P4R1-2q5-n6b.jpeg,232,b8,white_king,g7,white_rook,0.9967671632766724,1,b8 g7 g3,white_king white_rook white_rook
data/raw/kaggle_chess_positions/test/1K5k-6R1-2p4n-8-4R3-1P4R1-2q5-n6b.jpeg,232,b8,white_king,g3,white_rook,0.9970651865005493,1,b8 g7 g3,white_king white_rook white_rook
